Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score in Dystopia
110,Iraq,4.784800053,4.937272072,4.632328033,1.752173662,0.9820187092,1.011466622,0.529350698,0.2835880518,0.1530020684,0.07316499203,1.972316742
111,Lebanon,4.771500111,4.857257843,4.685742378,1.53554225,0.8892325163,1.19249332,0.7886711359,0.1855166703,0.1585241407,0.02151814662,1.972316742
112,Burkina Faso,4.768700123,4.890351772,4.647048473,2.588826418,0.3024676442,0.9293859005,0.3128338754,0.3223981559,0.1863906085,0.1264080554,1.972316742
113,Gambia,4.750599861,4.882240772,4.61895895,2.270216465,0.2569905519,0.8826786876,0.3532478809,0.4034195244,0.4259896874,0.1580937952,1.972316742
114,Mali,4.729300022,4.855451107,4.603148937,2.559335232,0.3524626493,0.9731417298,0.234981522,0.3775344491,0.1696670502,0.06214627624,1.972316742
115,Nigeria,4.724100113,4.826248169,4.621952057,2.219635487,0.6459018588,0.9867179394,0.167835936,0.4350794554,0.2213281244,0.04758993536,1.972316742
116,Armenia,4.676799774,4.791646481,4.561953068,1.468161583,0.8082624078,1.034576893,0.7758572698,0.3780758083,0.1072257385,0.1046181843,1.972316742
117,Georgia,4.672599792,4.757698059,4.587501526,1.69239831,0.8471980691,0.7311939001,0.6946576238,0.485494107,0.04760973528,0.1740880758,1.972316742
118,Iran,4.672399998,4.78192091,4.562879086,1.286969423,1.029322505,0.8862711787,0.7490538359,0.3011954725,0.2769789398,0.1426515132,1.972316742
119,Jordan,4.633399963,4.748552322,4.518247604,1.262258053,0.7851791978,1.140118599,0.7776247263,0.4248550832,0.09149476886,0.1518786252,1.972316742
120,Mozambique,4.623600006,4.778996944,4.468203068,2.221216202,0.1787413657,0.9552028775,0.3242236376,0.5607753396,0.220422104,0.1630643159,1.972316742
121,Kenya,4.583000183,4.715898037,4.450102329,1.684904575,0.476413399,0.9050777555,0.5363127589,0.5191805363,0.3939020932,0.06720107794,1.972316742
122,Namibia,4.571100235,4.690628052,4.451572418,1.503033161,0.8400819898,1.245738149,0.4068711698,0.4445989728,0.07645448297,0.05432034284,1.972316742
123,Ukraine,4.56069994,4.658080578,4.463319302,1.252669334,0.7804346085,1.321316481,0.6986743808,0.3194237053,0.1785513163,0.009651159868,1.972316742
124,Liberia,4.557899952,4.71853447,4.397265434,2.386757851,0.1741030067,0.9207339287,0.3922842741,0.4059430957,0.2269678712,0.05113987625,1.972316742
125,Palestinian Territories,4.552800179,4.662314892,4.443285465,1.693985701,0.5878192186,1.194755554,0.6138265729,0.2987007499,0.09181626141,0.07191365212,1.972316742
126,Uganda,4.43200016,4.566251278,4.297749043,1.958671093,0.3123374283,1.052327394,0.3783116639,0.4016825557,0.2648073733,0.06381884217,1.972316742
127,Chad,4.422699928,4.570153236,4.27524662,2.74742651,0.3022874892,0.739118278,0.1087440997,0.2286017686,0.2108050883,0.08575540781,1.972316742
128,Tunisia,4.392199993,4.489554405,4.294845581,1.528496742,0.8747426867,0.8721677065,0.7811567187,0.2358605564,0.05588114262,0.04389957339,1.972316742
129,Mauritania,4.374599934,4.482583046,4.266616821,1.85955739,0.5396848917,1.113323569,0.4251848161,0.1857144833,0.1288996637,0.122257635,1.972316742
130,Sri Lanka,4.327000141,4.431047916,4.222952366,0.6112885475,0.8979869485,1.19494009,0.7920367122,0.528632462,0.2526661456,0.04944456369,1.972316742
131,Congo (Kinshasa),4.31099987,4.524636269,4.097363472,2.437864304,0.06248746812,0.8330550194,0.2772120535,0.3646229804,0.2543248832,0.081466645,1.972316742
132,Swaziland,4.308100224,4.448145866,4.168054581,1.686207294,0.827539742,1.064835191,0.2155858278,0.2999357879,0.06726483256,0.1467658728,1.972316742
133,Myanmar,4.308000088,4.392180443,4.223819733,0.6814625263,0.67809093,1.098178267,0.4954430759,0.5974788666,0.5698137283,0.1875303537,1.972316742
134,Comoros,4.288599968,4.453906536,4.1232934,2.17276907,0.415620774,0.7232328057,0.4373833239,0.181028232,0.258538276,0.1000485346,1.972316742
135,Togo,4.187200069,4.309713364,4.064686775,2.409595251,0.2681162655,0.5476228595,0.3427311778,0.3035390377,0.2007742524,0.1148264557,1.972316742
136,Ethiopia,4.186200142,4.262473583,4.109926701,1.628459215,0.3151256442,1.001103282,0.4838462472,0.4125668705,0.2276981026,0.1174370348,1.972316742
137,Madagascar,4.165599823,4.278382301,4.052817345,2.136298418,0.2445532084,0.8236943483,0.5006170273,0.192967549,0.191190064,0.07624863833,1.972316742
138,Egypt,4.151400089,4.221919537,4.080880642,1.158818245,0.8752289414,0.9825395346,0.5969113111,0.3736847341,0.06880125403,0.09546179324,1.972316742
139,Sierra Leone,3.926399946,4.046255589,3.806544304,2.046271801,0.2405603826,0.7479849458,0.2039539665,0.3820276856,0.2576470077,0.04794093594,1.972316742
140,Burundi,3.775300026,3.98526001,3.565340042,2.401507378,0,0.4035752714,0.2952128351,0.2753990591,0.1874017864,0.2121868283,1.972316742
141,Zambia,3.759399891,3.878326178,3.640473604,1.134339333,0.5368337631,0.8960372806,0.3635933399,0.4913175404,0.2506209016,0.08670523763,1.972316742
142,Haiti,3.720799923,3.919667482,3.521932364,1.619916916,0.2847344279,0.6466713548,0.3743667305,0.1692975163,0.4639096558,0.1619356722,1.972316742
143,Lesotho,3.652800083,3.813757181,3.491842985,1.445513964,0.4549387395,1.088940024,0.1009348109,0.4093675315,0.1026276425,0.05048382282,1.972316742
144,India,3.573299885,3.627596378,3.519003391,0.7341308594,0.7305761576,0.6441986561,0.5405701399,0.5811422467,0.2370724827,0.1055879816,1.972316742
145,Malawi,3.538000107,3.675710678,3.400289536,1.552718282,0.1765347272,0.5303680897,0.4461632967,0.4873898327,0.213185057,0.1316339523,1.972316742
146,Yemen,3.527400017,3.633549929,3.421250105,1.116472721,0.3927017748,1.177477121,0.4150001705,0.2437214851,0.09468901157,0.08735212684,1.972316742
147,Botswana,3.478899956,3.597563744,3.360236168,0.2572405338,0.9975489974,1.08569479,0.494101733,0.5090894103,0.03340748698,0.1017863676,1.972316742
148,Tanzania,3.476200104,3.600091219,3.352308989,0.7189633846,0.4571631253,0.872674644,0.4426778555,0.5093430877,0.27154091,0.2038808614,1.972316742
149,Central African Republic,3.475899935,3.701658487,3.250141382,2.860197544,0.04107208177,0,0,0.2928144634,0.253513217,0.02826471813,1.972316742
150,Rwanda,3.312299967,3.415053368,3.209546566,0.5484449863,0.3432426751,0.5228763223,0.5723832846,0.6040878892,0.2357049882,0.4855424762,1.972316742
151,Zimbabwe,3.299200058,3.414201975,3.184198141,0.8410310745,0.4255640209,1.047835231,0.3750376105,0.3774047196,0.1513491869,0.08092857897,1.972316742
152,South Sudan,2.816600084,3.027516365,2.605683804,1.378751278,0.2890829742,0.5532785058,0.208809033,0.06560925394,0.2099346071,0.1111567989,1.972316742
153,Afghanistan,2.566900015,2.628270388,2.505529642,1.507235646,0.3007058501,0.3564338386,0.2660515308,0,0.1352347136,0.001225785352,1.972316742
