,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (2.33) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
144,Chad,3.763,3.854,3.672,2.30637455,0.4221419394,0.6317756176,0.03823509067,0.1280715764,0.1866670847,0.04952473193,2.33
145,Burkina Faso,3.739,3.831,3.647,1.873191595,0.3199520111,0.6305371523,0.2129663825,0.3336973786,0.2435251325,0.1253268421,2.33
146,Uganda,3.739,3.849,3.629,1.514159441,0.3471852541,0.9098122716,0.1962496191,0.4365302622,0.2710182667,0.06442092359,2.33
147,Yemen,3.724,3.827,3.621,1.972949982,0.5793884397,0.4749314487,0.3104755282,0.2286957204,0.09820922464,0.05892239138,2.33
148,Madagascar,3.695,3.769,3.621,2.150754929,0.2795436084,0.4611546695,0.3710902631,0.1368377805,0.2203976661,0.07505850494,2.33
149,Tanzania,3.666,3.771,3.561,1.377691031,0.4715463221,0.7762331367,0.3569995463,0.3176018596,0.3147176206,0.05098965764,2.33
150,Liberia,3.622,3.781,3.463,2.232842445,0.1070632562,0.5035267472,0.2316546589,0.2574831545,0.2406293005,0.04852154478,2.33
151,Guinea,3.607,3.681,3.533,2.156035423,0.224151656,0.3108991385,0.188288182,0.3095276356,0.2991373837,0.1192028522,2.33
152,Rwanda,3.515,3.586,3.444,0.96819067,0.3284611106,0.6158624887,0.3186502159,0.5431972146,0.235517174,0.5052086711,2.33
153,Benin,3.484,3.564,3.404,2.108121872,0.3949922621,0.1041889489,0.2102836668,0.3974654675,0.2018008232,0.06680506468,2.33
154,Afghanistan,3.360,3.432,3.288,2.145581484,0.3822656572,0.1103684977,0.1734360456,0.164304629,0.3126798272,0.07111632079,2.33
155,Togo,3.303,3.414,3.192,2.135404587,0.2812265158,0,0.2481121719,0.3467806578,0.1751681417,0.1158718988,2.33
156,Syria,3.069,3.202,2.936,0.8178913593,0.7471852303,0.148658514,0.6299359202,0.06912486255,0.4839687645,0.1723297089,2.33
157,Burundi,2.905,3.078,2.732,2.10404253,0.06830973178,0.2344244421,0.157467261,0.04320134968,0.202902168,0.09418750554,2.33
